hidden_units,dropout_rate,num_blocks,num_heads,lr,val_ndcg,val_ndcg_raw,best_epoch,epochs_run,max_epochs
128,0.5,3,16,0.0001,0.7686943831738814,0.7687411212235777,28,33,40
64,0.5,2,8,0.001,0.7678603234999279,0.7667159339438673,9,14,20
64,0.5,1,4,0.0001,0.7673899086434383,0.7675725315189031,39,40,40
64,0.3,2,16,0.0001,0.7673255097103494,0.7676142756077825,40,40,40
64,0.5,3,4,0.0001,0.7665383893266696,0.7665363736382981,39,40,40
64,0.3,3,16,0.0001,0.766267188982551,0.7664861167189446,21,26,40
64,0.5,2,8,0.0001,0.7660146993949506,0.7661607334828614,35,40,40
64,0.5,3,8,0.0001,0.7652309603438442,0.7644200136942249,34,39,40
64,0.5,2,4,0.0001,0.7652295643669896,0.7651048842798207,39,40,40
64,0.5,3,16,0.0001,0.7618973996857856,0.7620042918876448,22,27,40
64,0.5,2,16,0.0001,0.7584152609213253,0.7586605785009667,26,31,40
