session_id,split_index,context_len,query_len,session_len,query_skip_rate,ndcg_model,ndcg_random,lift
077dbae1-5028-4281-9377-6b4edaf14dc8_15048,5,158,27,185,0.963,0,0.1092,-0.1092
077dbae1-5028-4281-9377-6b4edaf14dc8_15049,1,10,12,22,0.3333,0.4634,0.6667,-0.2033
077dbae1-5028-4281-9377-6b4edaf14dc8_15049,2,11,11,22,0.3636,0.305,0.6364,-0.3314
077dbae1-5028-4281-9377-6b4edaf14dc8_15049,3,13,9,22,0.3333,0.3359,0.6667,-0.3307
077dbae1-5028-4281-9377-6b4edaf14dc8_15049,4,14,8,22,0.25,0.8369,0.75,0.0869
077dbae1-5028-4281-9377-6b4edaf14dc8_15049,5,16,6,22,0.1667,0.6859,0.8333,-0.1475
077dbae1-5028-4281-9377-6b4edaf14dc8_15052,1,8,22,30,0.1364,0.9322,0.8636,0.0685
077dbae1-5028-4281-9377-6b4edaf14dc8_15052,2,12,18,30,0.1667,0.9738,0.8333,0.1404
077dbae1-5028-4281-9377-6b4edaf14dc8_15052,3,16,14,30,0.2143,0.8767,0.7857,0.091
077dbae1-5028-4281-9377-6b4edaf14dc8_15052,4,20,10,30,0.2,0.8602,0.8,0.0602
077dbae1-5028-4281-9377-6b4edaf14dc8_15052,5,25,5,30,0.2,0.9633,0.9208,0.0425
077dbae1-5028-4281-9377-6b4edaf14dc8_15059,1,7,18,25,0.1111,0.7109,0.8889,-0.178
077dbae1-5028-4281-9377-6b4edaf14dc8_15059,2,10,15,25,0.1333,0.7699,0.8667,-0.0968
077dbae1-5028-4281-9377-6b4edaf14dc8_15059,3,13,12,25,0.1667,0.7953,0.8333,-0.038
077dbae1-5028-4281-9377-6b4edaf14dc8_15059,4,16,9,25,0.2222,0.786,0.7778,0.0082
077dbae1-5028-4281-9377-6b4edaf14dc8_15059,5,20,5,25,0.4,0.9183,0.8302,0.0881
077dbae1-5028-4281-9377-6b4edaf14dc8_15066,1,9,29,38,0.1379,1,0.8621,0.1379
077dbae1-5028-4281-9377-6b4edaf14dc8_15066,2,10,28,38,0.1429,0.9708,0.8571,0.1136
077dbae1-5028-4281-9377-6b4edaf14dc8_15066,3,12,26,38,0.1538,0.7861,0.8462,-0.06
077dbae1-5028-4281-9377-6b4edaf14dc8_15066,4,14,24,38,0.125,1,0.875,0.125
077dbae1-5028-4281-9377-6b4edaf14dc8_15066,5,16,22,38,0.0455,1,0.9545,0.0455
077dbae1-5028-4281-9377-6b4edaf14dc8_15067,1,3,24,27,0.1667,0.8166,0.8333,-0.0168
077dbae1-5028-4281-9377-6b4edaf14dc8_15067,2,6,21,27,0.1429,0.6859,0.8571,-0.1713
077dbae1-5028-4281-9377-6b4edaf14dc8_15067,3,10,17,27,0.1176,0.9445,0.8824,0.0622
077dbae1-5028-4281-9377-6b4edaf14dc8_15067,4,13,14,27,0.1429,0.7475,0.8571,-0.1096
