Using device: cuda
Loaded best params: {'hidden_units': 64.0, 'dropout_rate': 0.1, 'num_blocks': 1.0, 'num_heads': 4.0, 'lr': 0.001, 'val_ndcg': 0.7824361576, 'val_ndcg_raw': 0.7826886652, 'best_epoch': 18.0, 'epochs_run': 20.0, 'max_epochs': 20.0}
Loading datasets...
Train sessions: 75875 | Val sessions: 16262

=== Run 1/5 (seed 0) ===

Epoch 22 | Loss: 0.5922 | NDCG: 0.7789 | smoothed: 0.7795 | AUC: 0.6247
Epoch 23 | Loss: 0.5908 | NDCG: 0.7848 | smoothed: 0.7817 | AUC: 0.6335
Epoch 24 | Loss: 0.5909 | NDCG: 0.7826 | smoothed: 0.7821 | AUC: 0.6318
Epoch 25 | Loss: 0.5906 | NDCG: 0.7784 | smoothed: 0.7819 | AUC: 0.6255
Epoch 26 | Loss: 0.5905 | NDCG: 0.7818 | smoothed: 0.7809 | AUC: 0.6287
Epoch 27 | Loss: 0.5904 | NDCG: 0.7816 | smoothed: 0.7806 | AUC: 0.6285
Epoch 28 | Loss: 0.5899 | NDCG: 0.7812 | smoothed: 0.7815 | AUC: 0.6301
Epoch 29 | Loss: 0.5894 | NDCG: 0.7840 | smoothed: 0.7822 | AUC: 0.6332
Epoch 30 | Loss: 0.5890 | NDCG: 0.7807 | smoothed: 0.7820 | AUC: 0.6280
Epoch 31 | Loss: 0.5906 | NDCG: 0.7812 | smoothed: 0.7820 | AUC: 0.6288
Epoch 32 | Loss: 0.5900 | NDCG: 0.7859 | smoothed: 0.7826 | AUC: 0.6342
Epoch 33 | Loss: 0.5900 | NDCG: 0.7822 | smoothed: 0.7831 | AUC: 0.6291
Epoch 34 | Loss: 0.5902 | NDCG: 0.7831 | smoothed: 0.7837 | AUC: 0.6308
Epoch 35 | Loss: 0.5890 | NDCG: 0.7842 | smoothed: 0.7832 | AUC: 0.6348
Epoch 36 | Loss: 0.5887 | NDCG: 0.7834 | smoothed: 0.7836 | AUC: 0.6317
Epoch 37 | Loss: 0.5896 | NDCG: 0.7798 | smoothed: 0.7825 | AUC: 0.6302
Epoch 38 | Loss: 0.5894 | NDCG: 0.7841 | smoothed: 0.7824 | AUC: 0.6345
Epoch 39 | Loss: 0.5895 | NDCG: 0.7865 | smoothed: 0.7835 | AUC: 0.6372
Early stopping at epoch 39
Run 5: NDCG 0.7837 | AUC 0.6308 | best epoch 34 of 39

=== SASRec / PWTS across 5 seeds ===
NDCG@5 : 0.7848 +/- 0.0017   [0.7862, 0.7873, 0.7828, 0.7841, 0.7837]
AUC    : 0.6321 +/- 0.0021   [0.6328, 0.6336, 0.6288, 0.6346, 0.6308]
epochs : [45, 55, 31, 36, 39]  (best at [40, 50, 26, 31, 34])
Model saved to ../Models/sasrec_pwts_best.pt
