track_id,display,artist,p_skip
2ds7uAG7RlUuDVNqQqfW2f,Hope Springs Eternal,,0.06583847
0fEaj390FKNegIZ1xMhA7v,Burn,,0.0658568
55mQhobuwtY7lfLAXylg1k,You Make Loving Fun - 2004 Remaster,,0.06587248
1MoA0TNVdveasxnR6c2JqZ,Jackie Down The Line,,0.06587663
0whWpxV2KF5yPcPDjzDYkw,Mist Of A Dream,,0.0658908
6Aw9iJg6GhpNnIEWvmixUn,Spirit,,0.06589289
7mIOXWrIPpTk3V9G5Ly3r5,Le monde entier est un piège,,0.06598752
45ZmUXITNXixqBjelRmBSO,Candy,,0.06607833
5nPkk36o7z0pNFh24mrZTd,The Awakening,,0.06616649
6CGwCT63BvZpHJu4gjpZlo,Abre la puerta,,0.06623283
6N7kR64unjAKBgnYDNOhIX,Fly Away,,0.06624058
5cbDTZG8lBJqVVa2zqROPI,Taxes,,0.0662621
7lMx5YmUu6NzfgD7JQS6SS,Ai Mi Morena - Club Des Belugas Remix,,0.066320114
0y5CnV2idm2KkQEudDjfDT,Last Goodbye,,0.06634703
2LBiRQJS7A1gOef413IFut,Vestiges,,0.066359006
5UJcKDEmroJxzE0ocQFKS7,Dimitro,,0.06649615
2beBdwV1Y5PtWxDk1GgAZ6,It Ain't Me Babe,,0.0665004
1arAGa39LQ2EsTCK64JuB4,Forever,,0.06651003
1ea5DRqRojXDvXGfKwcM5u,strongboi,,0.06651013
5eHB7iz8fKG1IkaGddI7LA,Sole Obsession,,0.0665103
4kCnUNbOSElw8OpzMwVOHo,First Cool Hive,,0.06653739
0TeybZKbODYrRTYMTNkTHb,Fate,,0.066546954
2gL3yeSrVcdgYUgebT6TKN,Sumeru,,0.06657548
13Ym4BnHYalKDX53zwo0b6,Which One Is the Jellyfish?,,0.066592366
4kI8cbwLAjEuDNMmPgoiGO,On the Low,,0.066606134
6KiS9YtjvBEr96wazaVfO4,Achinkad,,0.066620976
5SXemxLERs0imkLpe4Aq8v,In The Gallery,,0.06664569
1mPbccRuO7FwxAWECKveTh,Go On,,0.06670925
4E0P1xs3JNmsNr5c5nFTZJ,Back To Me,,0.06674701
1nPC5op37uOleRc6RH3Xdl,Göç / Me,,0.06686146
1UeQ8XhTvvZbGqgq2Ln9jG,Speaking Confidentially,,0.066877864
1LiLcXmLVnmkZyuJVuJDOc,Let Go,,0.06692107
6ECQVBkaCMGcXYmleOZWm0,Individualism,,0.066931166
6VXIZWHmdOTHIFhsSkYFgQ,When A Good Man Cries,,0.06696966
7pamxApUs3CE8t7tKmUJ6Z,The Bird,,0.06698114
3077zJdkrjvys57YcRuCgx,Oil (feat. Stevie Nicks),,0.06698629
6qVodemcQoATdMCO5eUAlo,Consider Me,,0.06700805
45kyQ8ugCdjUo23pyX0Xrx,The Hop,,0.06701458
5C8ZVCqSWQluWHXsTdLCOW,Stone,,0.06708166
0hRS0vTwEtGQrpOHqIEJBB,God Of Everything Else,,0.0671212
2vZFdFRY8mqTwJDphhWExR,Rosie Rosie,,0.06715264
3GxOJlWpm4Ri5nCWrIQjOY,Travel Guide,,0.06719858
01xuEFvP86dclLeZIIqMqt,Розовые сны,,0.06722458
4ssAFBPpon04TltZHRszvn,Sasurai,,0.067244135
2lWxw9c8TJpY9QdRaVeC5C,Home,,0.06733523
7DOqLMSxTh1s3WPTyqJ2pw,Amor Mio,,0.06733558
1QXFkl9yG16VS7IOqcidiq,Feeling Myself,,0.06750722
3sslYZcFKtUvIEWN9lADgr,First Love/Late Spring,,0.06752431
63SKPsrN4KfLjUwAEugilm,Smoldering Fire,,0.06760226
1QxmKMggKPykokcwBYvjso,Everything in Its Right Place,,0.067621335
1CPUhFOkNDDbxkJEQmlbml,Love Don't Live Here Any More,,0.06763035
7sCHy8QQUz3CRvUMp53Cbm,Harvest Moon,,0.06767682
1JVEM4C04VPAU9JTnKthNk,23,,0.067712374
1IPRwv7FqZvdaawA2YWCcQ,Sweet Danger,,0.06773419
2w8ZuUEbPsX2ZeWaiHHSCz,take me home,,0.06776001
34nQUHjbkQLuNKFWwlyYQQ,Blindfold,,0.06776995
5ON8OuNPxGE8XCXKII145q,Where I Go,,0.06778262
3hBFQgcJIcIXPI4NyxztEe,Rock On,,0.06779053
7H6KN6M4pTG98RBGfgVFWg,Panic Growth,,0.06796449
2lXFtsU8naRn2mC0DACJEl,Festival,,0.06797899
0Awjl9HDjFyuccbiGJ8UBs,Fatal Attraction,,0.06801462
6DYLWAdxEJvwWmT7EkeDkX,Charmed,,0.068123624
3znapZvsInnCVsDERDUaM5,Some Girls Are Bigger Than Others - 2011 Remaster,,0.068150684
3vxvz0JoRDvnx2jG9oPljA,Love You Anyway,,0.068223745
4WFWh42DCkPCjcjqITk54S,Different This Time,,0.06824148
3kkSSyi0HZyX9k5q0PbMcZ,Afg,,0.06835818
22hjpM2j5KWg7zNyve4T1g,Mockingjay,,0.06839992
5UW4tA4j23YL6kDfRw3rWT,mangetout,,0.06841891
6GlqJG2mnJIL9dhVHku4JV,Truth and Rights,,0.06849985
0Xe7ERgKlAHTuf4XZSjxaT,Ocean Swallows Him Whole,,0.06852853
50ASFow3YrVJJpqdzaM1YD,Carried Away,,0.06862435
0deK1kN7aBhfhCy0BEoN1G,Riders Of The Moon,,0.06870793
4i4QN9Zs5s7OZRRLIYHMmP,Souvenir - Remastered 2003,,0.068711564
4uwdzhJ3WIStAyGpzLyZlb,Triumph,,0.06895725
2tpfPi4qSamU9EX5Q8FnNi,Pain,,0.06899692
05hutbOI2MgYSFk4UJ18rK,Reality,,0.06914825
7cAMlhhz8JyULNYexSHloC,Blue,,0.06919587
1wPlBxDgNGWPyPSDlS21MM,Мемантин,,0.06921944
42yFErprYYtoYtzVdkNNAg,Those Days,,0.069245376
6MN6yRVriszuyAVlyF8ndB,Coffee Cold,,0.069255166
2yDWhOjZhKZ0XqPXyjNQhx,Lovesick,,0.069256224
4nZi6XNe36Ut4Nij3IQ1yC,Silver Springs - 2004 Remaster,,0.06940143
5i5Rt40zinWyID6QGp8gso,Slow,,0.0694211
1JMyndqIXDM7cKmRu3nFws,Leap Year,,0.06953833
2VO8CVuLDVXynM8tQECALM,I Don't Know You,,0.069587454
6o43Gi1cX7Nyi6koSkwIBc,Navy Light,,0.06960857
4PJyhaPmELstvQHlupBC7x,Mona Lisa's Smile,,0.069697455
1Pfc1Qpj0s9vQumI0JvpBp,Jonathan,,0.06972682
71pLAOb9hGDPnDuGse80fV,Gatekeeper,,0.06983236
2rWwMiuamLrVIiky1hWJt0,Nighttime Thinking,,0.06986348
3LbPPqqqmmvEwjHA8YH4Wo,The Florist,,0.069873154
2wW53zzmDGmurWVvSImMKE,Your Name,,0.0698856
4UqolMz8WcdK1c8bqESKgd,Little Splinters,,0.06991267
66S2yTfMuvSob4M63zx8EI,Night and Day,,0.06993758
